tile_num,GeoTIFF,geometry,S2 Tile Name
3779,boreal_agb_202302061675666959_3779.tif,"POLYGON ((118.94288967600005 47.22867920700003, 119.67831229400008 47.868462848000036, 120.60377060500002 47.35656322600005, 119.86376328000006 46.72283136100003, 118.94288967600005 47.22867920700003))",50TPS
3780,boreal_agb_202302061675670071_3780.tif,"POLYGON ((119.67831229400008 47.868462848000036, 120.4345122960001 48.501470624000035, 121.36421803600001 47.98337440500006, 120.60377060500002 47.35656322600005, 119.67831229400008 47.868462848000036))",50TPT
3779,boreal_agb_202302061675666959_3779.tif,"POLYGON ((118.94288967600005 47.22867920700003, 119.67831229400008 47.868462848000036, 120.60377060500002 47.35656322600005, 119.86376328000006 46.72283136100003, 118.94288967600005 47.22867920700003))",50TPT
3872,boreal_agb_202302061675673329_3872.tif,"POLYGON ((119.86376328000006 46.72283136100003, 120.60377060500002 47.35656322600005, 121.50879130200008 46.83530263100005, 120.76484002600012 46.207565705000036, 119.86376328000006 46.72283136100003))",50TQS
3960,boreal_agb_202302061675667165_3960.tif,"POLYGON ((120.76484002600012 46.207565705000036, 121.50879130200008 46.83530263100005, 122.3937261850001 46.30490479100007, 121.64643756400005 45.683100257000035, 120.76484002600012 46.207565705000036))",50TQS
3779,boreal_agb_202302061675666959_3779.tif,"POLYGON ((118.94288967600005 47.22867920700003, 119.67831229400008 47.868462848000036, 120.60377060500002 47.35656322600005, 119.86376328000006 46.72283136100003, 118.94288967600005 47.22867920700003))",50TQS
3872,boreal_agb_202302061675673329_3872.tif,"POLYGON ((119.86376328000006 46.72283136100003, 120.60377060500002 47.35656322600005, 121.50879130200008 46.83530263100005, 120.76484002600012 46.207565705000036, 119.86376328000006 46.72283136100003))",50TQT
3780,boreal_agb_202302061675670071_3780.tif,"POLYGON ((119.67831229400008 47.868462848000036, 120.4345122960001 48.501470624000035, 121.36421803600001 47.98337440500006, 120.60377060500002 47.35656322600005, 119.67831229400008 47.868462848000036))",50TQT
3873,boreal_agb_202302061675669700_3873.tif,"POLYGON ((120.60377060500002 47.35656322600005, 121.36421803600001 47.98337440500006, 122.2728304630001 47.455980992000036, 121.50879130200008 46.83530263100005, 120.60377060500002 47.35656322600005))",50TQT
3779,boreal_agb_202302061675666959_3779.tif,"POLYGON ((118.94288967600005 47.22867920700003, 119.67831229400008 47.868462848000036, 120.60377060500002 47.35656322600005, 119.86376328000006 46.72283136100003, 118.94288967600005 47.22867920700003))",50TQT
3687,boreal_agb_202302061675688543_3687.tif,"POLYGON ((120.2564266390001 49.64249837400007, 121.05209431200001 50.267989174000036, 122.0120338590001 49.74646110200007, 121.21218281400002 49.12753115400005, 120.2564266390001 49.64249837400007))",50UQA
3688,boreal_agb_202302061675667209_3688.tif,"POLYGON ((121.87111247900009 50.88630775400003, 122.83479134000004 50.358064684000055, 122.0120338590001 49.74646110200007, 121.05209431200001 50.267989174000036, 121.87111247900009 50.88630775400003))",50UQA
